date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:14	789/789	---M--	404	error ('Not%20Found')	text/html	etag:%22315-5d6ba1098f13e;6111a176b7733	https://demo.templatesjungle.com/robots.txt		(from )
10:11:15	37139/37139	---M--	200	added ('OK')	text/html	etag:%229113-60cdb34d46d17%22	https://demo.templatesjungle.com/uniclub/	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/index.html	(from )
10:11:15	18065/18065	---M-Z	200	added ('OK')	text/css	etag:W/%224691-p8Uo3JAYru/tmlIzcWjeyyIOL2E%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	D:/MyWebsite/Uniclub/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	(from https://demo.templatesjungle.com/uniclub/)
10:11:15	2598/2598	---M--	200	added ('OK')	text/css	etag:%22a26-60cdb361415b9%22	https://demo.templatesjungle.com/uniclub/icomoon/icomoon.css	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/icomoon/icomoon.css	(from https://demo.templatesjungle.com/uniclub/)
10:11:15	232691/232691	---M-Z	200	added ('OK')	text/css	etag:W/%2238cf3-SvPX4VpqOAxsurukLprfMwtJ1Y8%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha3/dist/css/bootstrap.min.css	D:/MyWebsite/Uniclub/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha3/dist/css/bootstrap.min.css	(from https://demo.templatesjungle.com/uniclub/)
10:11:16	31300/31300	---M--	200	added ('OK')	text/css	etag:%227a44-60cdb35d64a0d%22	https://demo.templatesjungle.com/uniclub/css/vendor.css	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/css/vendor.css	(from https://demo.templatesjungle.com/uniclub/)
10:11:16	16278/16278	---M--	200	added ('OK')	text/css	etag:%223f96-60cdb35332dec%22	https://demo.templatesjungle.com/uniclub/style.css	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/style.css	(from https://demo.templatesjungle.com/uniclub/)
10:11:17	37139/37139	---M--	200	added ('OK')	text/html	etag:%229113-60cdb34d46d17%22	https://demo.templatesjungle.com/uniclub/index.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/index-2.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:17	1012/1012	---M--	200	added ('OK')	image/png	etag:%223f4-60cdb3876696a%22	https://demo.templatesjungle.com/uniclub/images/logo.png	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/images/logo.png	(from https://demo.templatesjungle.com/uniclub/)
10:11:17	25781/25781	---M--	200	added ('OK')	text/html	etag:%2264b5-60cdb3466df59%22	https://demo.templatesjungle.com/uniclub/about.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/about.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:18	41359/41359	---M--	200	added ('OK')	text/html	etag:%22a18f-60cdb34f6e8dc%22	https://demo.templatesjungle.com/uniclub/shop.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/shop.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:18	43423/43423	---M--	200	added ('OK')	text/html	etag:%22a99f-60cdb3520907e%22	https://demo.templatesjungle.com/uniclub/single-product.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/single-product.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:18	32807/32807	---M--	200	added ('OK')	text/html	etag:%228027-60cdb34820831%22	https://demo.templatesjungle.com/uniclub/cart.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/cart.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:18	30185/30185	---M--	200	added ('OK')	text/html	etag:%2275e9-60cdb3576029b%22	https://demo.templatesjungle.com/uniclub/wishlist.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/wishlist.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:19	30020/30020	---M--	200	added ('OK')	text/html	etag:%227544-60cdb349764b9%22	https://demo.templatesjungle.com/uniclub/checkout.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/checkout.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:19	30288/30288	---M--	200	added ('OK')	text/html	etag:%227650-60cdb347f2209%22	https://demo.templatesjungle.com/uniclub/blog.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/blog.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:19	39978/39978	---M--	200	added ('OK')	text/html	etag:%229c2a-60cdb350a70a8%22	https://demo.templatesjungle.com/uniclub/single-post.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/single-post.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:20	26483/26483	---M--	200	added ('OK')	text/html	etag:%226773-60cdb39fae285%22	https://demo.templatesjungle.com/uniclub/contact.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/contact.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:20	35866/35866	---M--	200	added ('OK')	text/html	etag:%228c1a-60cdb34c1336a%22	https://demo.templatesjungle.com/uniclub/faqs.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/faqs.html	(from https://demo.templatesjungle.com/uniclub/)
10:11:20	29875/29875	---M--	200	added ('OK')	text/html	etag:%2274b3-60cdb34688d05%22	https://demo.templatesjungle.com/uniclub/account.html	D:/MyWebsite/Uniclub/demo.templatesjungle.com/uniclub/account.html	(from https://demo.templatesjungle.com/uniclub/)
